CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0-2000-0-86917,GOIOERE,N,0.0,Operante,Automatica,-24.18388888,0-76-0-4108601000000119,8,481.0,PR,A825,-53.04888888,2006-10-18
0-2000-0-86783,GOVERNADOR VALADARES,N,0.0,Operante,Automatica,-18.830354,0-76-0-3127701000000197,5,198.24,MG,A532,-41.977007,2007-05-26
0-2000-0-81823,GRAJAU,N,0.0,Operante,Automatica,-5.81611111,0-76-0-2104800000000425,2,232.29,MA,A207,-46.16222222,2008-09-09
0-2000-0-86694,GUANAMBI,N,0.0,Pane,Automatica,-14.20805555,0-76-0-2911709000000347,4,552.23,BA,A426,-42.74972221,2008-04-23
0-2000-0-86782,GUANHAES,N,0.0,Operante,Automatica,-18.78694444,0-76-0-3128006000000207,5,852.68,MG,A533,-42.94305555,2007-06-01
0-2000-0-81797,GUARAMIRANGA,N,0.0,Pane,Automatica,-4.22916666,0-76-0-2305100000000194,3,865.53,CE,A314,-38.95888888,2007-05-25
0-2000-0-81979,GUARANTA DO NORTE,N,0.0,Operante,Automatica,-9.9525,0-76-0-5104104000000040,9,283.58,MT,A906,-54.89777777,2002-12-19
0-2000-0-86757,GUARDA-MOR,N,0.0,Operante,Automatica,-17.56138888,0-76-0-3128600000000225,5,997.01,MG,A546,-47.19916666,2007-07-10
0-2000-0-86729,GUIRATINGA,N,0.0,Operante,Automatica,-16.34166666,0-76-0-5104203000000282,9,525.43,MT,A932,-53.76611111,2008-01-23
0-2000-0-86630,GURUPI,N,0.0,Operante,Automatica,-11.74499999,0-76-0-1709500000000161,10,274.0,TO,A019,-49.05166666,2006-12-19
0-2000-0-81890,HUMAITA,N,0.0,Operante,Automatica,-7.5525,0-76-0-1301704000000349,1,53.56,AM,A112,-63.07138888,2008-04-24
0-2000-0-81954,IBIMIRIM,N,0.0,Operante,Automatica,-8.50944444,0-76-0-2606606000000436,3,434.23,PE,A349,-37.71166666,2008-10-13
0-2000-0-86821,IBIRITE (ROLA MOCA),N,0.0,Operante,Automatica,-20.03138888,0-76-0-3129806000000378,5,1198.82,MG,A555,-44.01111111,2008-06-05
0-2000-0-86974,IBIRUBA,N,0.0,Operante,Automatica,-28.65333333,0-76-0-4310009000000491,8,455.27,RS,A883,-53.11194444,2012-12-12
0-2000-0-86843,IBITINGA,N,0.0,Operante,Automatica,-21.85555555,0-76-0-3519600000000267,7,496.75,SP,A737,-48.79972221,2007-11-08
0-2000-0-86653,IBOTIRAMA,N,0.0,Operante,Automatica,-12.19305555,0-76-0-2913200000000355,4,425.12,BA,A439,-43.21333333,2008-04-27
0-2000-0-86897,ICARAIMA,N,0.0,Pane,Automatica,-23.39027777,0-76-0-4109906000000139,8,381.29,PR,A824,-53.63583333,2006-11-15
0-2000-0-86923,IGUAPE,N,0.0,Operante,Automatica,-24.67166666,0-76-0-3520301000000088,7,2.7,SP,A712,-47.54583333,2006-07-19
0-2000-0-81873,IGUATU,N,0.0,Operante,Automatica,-6.39638888,0-76-0-2305506000000200,3,221.56,CE,A319,-39.26888888,2007-05-29
0-2000-0-86699,ILHEUS,N,0.0,Operante,Automatica,-14.65888888,0-76-0-2913606000000045,4,80.21,BA,A410,-39.18138888,2003-01-24
0-2000-0-81822,IMPERATRIZ,N,0.0,Operante,Automatica,-5.55583333,0-76-0-2105302000000299,2,117.96,MA,A225,-47.45972222,2008-02-29
0-2000-0-86929,INACIO MARTINS,N,0.0,Operante,Automatica,-25.567879,0-76-0-4110201000000117,8,1208.85,PR,A823,-51.077946,2006-10-15
0-2000-0-86946,INDAIAL,N,0.0,Operante,Automatica,-26.91361111,0-76-0-4207502000000080,8,72.24,SC,A817,-49.26805554,2006-07-01
0-2000-0-81837,IPANGUACU,N,0.0,Operante,Automatica,-5.53499999,0-76-0-2404705000000568,3,19.0,RN,A372,-36.87222221,2017-11-07
0-2000-0-86698,IPIAU,N,0.0,Operante,Automatica,-14.17138888,0-76-0-2913903000000452,4,132.11,BA,A445,-39.69249999,2009-06-29
0-2000-0-86731,IPORA,N,0.0,Operante,Automatica,-16.42305554,0-76-0-5210208000000493,10,610.41,GO,A028,-51.14888888,2013-06-23
0-2000-0-86635,IRECE,N,0.0,Operante,Automatica,-11.328998,0-76-0-2914604000000325,4,768.42,BA,A424,-41.864504,2008-03-30
0-2000-0-86601,ITABAIANA,N,0.0,Pane,Automatica,-10.67166666,0-76-0-2802908000000544,4,213.0,SE,A451,-37.47138888,2017-04-23
0-2000-0-86638,ITABAIANINHA,N,0.0,Operante,Automatica,-11.27249999,0-76-0-2803005000000191,4,204.8,SE,A417,-37.79499999,2007-05-22
0-2000-0-86656,ITABERABA,N,0.0,Operante,Automatica,-12.52416666,0-76-0-2914703000000048,4,250.11,BA,A408,-40.29972221,2003-01-28
0-2000-0-81733,ITACOATIARA,N,0.0,Operante,Automatica,-3.13333333,0-76-0-1301902000000340,1,41.54,AM,A121,-58.48277777,2008-04-16
0-2000-0-81778,ITAITUBA,N,0.0,Operante,Automatica,-4.27694443,0-76-0-1503606000000290,2,24.46,PA,A231,-55.99305555,2008-02-16
0-2000-0-86948,ITAJAI,N,0.0,Operante,Automatica,-26.95083333,0-76-0-4208203000000461,8,9.76,SC,A868,-48.76194444,2010-06-23
0-2000-0-86760,ITAMARAJU,N,0.0,Operante,Automatica,-17.00694444,0-76-0-2915601000000514,4,110.0,BA,A455,-39.55805555,2016-05-27
0-2000-0-86742,ITAOBIM,N,0.0,Operante,Automatica,-16.57555554,0-76-0-3133303000000251,5,271.63,MG,A550,-41.48555555,2007-09-04
0-2000-0-86689,ITAPACI,N,0.0,Pane,Automatica,-14.97972221,0-76-0-5210901000000173,10,551.0,GO,A015,-49.53944444,2007-02-02
0-2000-0-86723,ITAPETINGA,N,0.0,Operante,Automatica,-15.24472221,0-76-0-2916401000000450,4,271.48,BA,A446,-40.22944443,2009-06-24
0-2000-0-86905,ITAPEVA,N,0.0,Operante,Automatica,-23.98194443,0-76-0-3522406000000090,7,743.33,SP,A714,-48.88583333,2006-07-24
0-2000-0-81756,ITAPIPOCA,N,0.0,Operante,Automatica,-3.48416666,0-76-0-2306405000000421,3,104.49,CE,A359,-39.5886111,2008-09-04
0-2000-0-86869,ITAPIRA,N,0.0,Operante,Automatica,-22.415,0-76-0-3522604000000263,7,634.89,SP,A739,-46.80527777,2007-11-04
0-2000-0-86947,ITAPOA,N,0.0,Operante,Automatica,-26.08138888,0-76-0-4208450000000210,8,6.18,SC,A851,-48.64166666,2007-06-05
0-2000-0-81907,ITAPORANGA,N,0.0,Operante,Automatica,-7.31833332,0-76-0-2507002000000567,3,292.0,PB,A373,-38.14083333,2017-11-02
0-2000-0-86896,ITAQUIRAI,N,0.0,Operante,Automatica,-23.44944444,0-76-0-5004601000000367,7,337.82,MS,A752,-54.18194443,2008-05-27
0-2000-0-81636,ITAUBAL,N,0.0,Operante,Automatica,0.56777777,0-76-0-1600253000000554,2,21.0,AP,A251,-50.8236111,2017-08-23
0-2000-0-86748,ITIQUIRA,N,0.0,Pane,Automatica,-17.17499999,0-76-0-5104609000000414,9,593.12,MT,A933,-54.50166666,2008-08-13
0-2000-0-86674,ITIRUCU,N,0.0,Pane,Automatica,-13.52777777,0-76-0-2916906000000053,4,757.42,BA,A407,-40.11972221,2003-02-08
0-2000-0-86775,ITUIUTABA,N,0.0,Operante,Automatica,-18.95277777,0-76-0-3134202000000076,5,540.08,MG,A512,-49.52499999,2006-05-11
0-2000-0-86774,ITUMBIARA,N,0.0,Operante,Automatica,-18.40972222,0-76-0-5211503000000261,10,491.17,GO,A035,-49.19194444,2007-10-31
0-2000-0-86957,ITUPORANGA,N,0.0,Operante,Automatica,-27.41833332,0-76-0-4208500000000303,8,479.79,SC,A863,-49.64694444,2008-03-03
0-2000-0-86817,ITUVERAVA,N,0.0,Operante,Automatica,-20.35972222,0-76-0-3524105000000403,7,610.58,SP,A753,-47.77527777,2008-07-16
0-2000-0-86930,IVAI,N,0.0,Pane,Automatica,-25.01083333,0-76-0-4111407000000082,8,803.58,PR,A818,-50.85388888,2006-07-10
0-2000-0-86860,IVINHEMA,N,0.0,Operante,Automatica,-22.30055555,0-76-0-5004700000000052,7,377.36,MS,A709,-53.82277777,2003-02-07
0-2000-0-86636,JACOBINA,N,0.0,Operante,Automatica,-11.205,0-76-0-2917508000000357,4,440.78,BA,A440,-40.465,2008-04-30
0-2000-0-86996,JAGUARAO,N,0.0,Operante,Automatica,-32.53472221,0-76-0-4311007000000169,8,31.48,RS,A836,-53.37583332,2007-01-08
0-2000-0-81833,JAGUARIBE,N,0.0,Operante,Automatica,-5.90555555,0-76-0-2306900000000426,3,149.31,CE,A358,-38.62777777,2008-09-09
0-2000-0-81798,JAGUARUANA,N,0.0,Operante,Automatica,-4.83777777,0-76-0-2307007000000269,3,12.0,CE,A339,-37.69972221,2007-11-09
0-2000-0-86814,JALES,N,0.0,Operante,Automatica,-20.165,0-76-0-3524808000000242,7,460.44,SP,A733,-50.59499999,2007-08-21
0-2000-0-86710,JANUARIA,N,0.0,Operante,Automatica,-15.44805555,0-76-0-3135209000000521,5,468.0,MG,A559,-44.36638888,2016-06-22
0-2000-0-86902,JAPIRA,N,0.0,Operante,Automatica,-23.77333332,0-76-0-4109708000000297,8,692.88,PR,A871,-50.18055554,2008-02-28
0-2000-0-86835,JARDIM,N,0.0,Operante,Automatica,-21.4786111,0-76-0-5005004000000474,7,252.47,MS,A758,-56.13777777,2011-08-03
0-2000-0-86752,JATAI,N,0.0,Operante,Automatica,-17.9236111,0-76-0-5211909000000190,10,670.08,GO,A016,-51.71749999,2007-05-22
0-2000-0-86605,JEREMOABO,N,0.0,Operante,Automatica,-10.08083332,0-76-0-2918100000000499,4,261.0,BA,A450,-38.34583333,2015-08-12
0-2000-0-86955,JOACABA,N,0.0,Operante,Automatica,-27.16916666,0-76-0-4209003000000254,8,767.63,SC,A841,-51.55888888,2007-09-19
0-2000-0-81918,JOAO PESSOA,N,0.0,Operante,Automatica,-7.16527777,0-76-0-2507507000000234,3,33.5,PB,A320,-34.81555555,2007-07-20
0-2000-0-86758,JOAO PINHEIRO,N,0.0,Operante,Automatica,-17.78444444,0-76-0-3136306000000221,5,877.05,MG,A553,-46.11944443,2007-07-06
0-2000-0-86903,JOAQUIM TAVORA,N,0.0,Pane,Automatica,-23.50527777,0-76-0-4112801000000144,8,512.67,PR,A821,-49.94638888,2006-11-22
0-2000-0-86839,JOSE BONIFACIO,N,0.0,Operante,Automatica,-21.08555555,0-76-0-3525706000000249,7,408.35,SP,A735,-49.92027777,2007-09-02
0-2000-0-86625,JUARA,N,0.0,Pane,Automatica,-11.28027777,0-76-0-5105101000000134,9,263.43,MT,A914,-57.52666666,2006-11-01
0-2000-0-86624,JUINA,N,0.0,Operante,Automatica,-11.37499999,0-76-0-5105150000000145,9,365.39,MT,A920,-58.77472221,2006-11-23
0-2000-0-86851,JUIZ DE FORA,N,0.0,Operante,Automatica,-21.769965,0-76-0-3136702000000196,5,936.88,MG,A518,-43.364329,2007-05-25
0-2000-0-86859,JUTI,N,0.0,Operante,Automatica,-22.85722222,0-76-0-5005152000000384,7,375.18,MS,A749,-54.60555555,2008-06-15
0-2000-0-81888,LABREA,N,0.0,Operante,Automatica,-7.26055555,0-76-0-1302405000000412,1,61.91,AM,A111,-64.7886111,2008-07-26
0-2000-0-86932,LAGES,N,0.0,Operante,Automatica,-27.80222222,0-76-0-4209300000000497,8,952.7,SC,A865,-50.33555555,2014-11-05
0-2000-0-86602,LAGOA DA CONFUSAO,N,0.0,Operante,Automatica,-10.828286,0-76-0-1711902000000531,10,178.0,TO,A055,-49.847882,2016-11-14
0-2000-0-86965,LAGOA VERMELHA,N,0.0,Operante,Automatica,-28.222381,0-76-0-4311304000000175,8,833.83,RS,A844,-51.512845,2007-03-01
0-2000-0-86949,LARANJEIRAS DO SUL,N,0.0,Operante,Automatica,-25.37138888,0-76-0-4113304000000525,8,889.0,PR,B804,-52.40083333,2016-08-06
0-2000-0-86654,LENCOIS,N,0.0,Operante,Automatica,-12.55777777,0-76-0-2900702000000328,4,438.09,BA,A425,-41.38888888,2008-04-04
0-2000-0-86805,LINHARES,N,0.0,Operante,Automatica,-19.35694444,0-76-0-3203205000000128,6,40.0,ES,A614,-40.0686111,2006-10-26
0-2000-0-86840,LINS,N,0.0,Operante,Automatica,-21.66611111,0-76-0-3527108000000105,7,460.65,SP,A727,-49.73472221,2006-09-19
0-2000-0-86651,LUIZ EDUARDO MAGALHAES,N,0.0,Operante,Automatica,-12.1525,0-76-0-2903201000000021,4,760.68,BA,A404,-45.82972221,2002-04-17
0-2000-0-86736,LUZIANIA,N,0.0,Operante,Automatica,-16.26055555,0-76-0-5212501000000120,10,1000.82,GO,A012,-47.96694443,2006-10-20
0-2000-0-86972,Laguna  - Farol de Santa Marta,N,0.0,Operante,Automatica,-28.60444444,0-76-0-4209409000000373,8,34.36,SC,A866,-48.81333333,2008-05-31
0-2000-0-86891,MACAE,N,0.0,Operante,Automatica,-22.3761111,0-76-0-3302403000000106,6,28.0,RJ,A608,-41.81194444,2006-09-21
0-2000-0-86655,MACAJUBA,N,0.0,Operante,Automatica,-12.13166666,0-76-0-2919603000000049,4,360.0,BA,A412,-40.35416666,2003-02-02
0-2000-0-81638,MACAPA,N,0.0,Operante,Automatica,0.03499999,0-76-0-1600303000000495,2,16.62,AP,A249,-51.08888888,2013-12-11
0-2000-0-81836,MACAU,N,0.0,Operante,Automatica,-5.15111111,0-76-0-2407203000000167,3,17.37,RN,A317,-36.57305554,2007-01-05
0-2000-0-81998,MACEIO,N,0.0,Operante,Automatica,-9.55111111,0-76-0-2700508000000061,3,84.12,AL,A303,-35.77027777,2003-02-24
0-2000-0-84815,MACHADO,N,0.0,Operante,Automatica,-21.680722,0-76-0-3139003000000552,5,969.0,MG,A567,-45.944389,2017-07-20
0-2000-0-86942,MAJOR VIEIRA,N,0.0,Operante,Automatica,-26.3936111,0-76-0-4210308000000442,8,799.58,SC,A864,-50.36333333,2009-02-08
0-2000-0-86916,MAL. CANDIDO RONDON,N,0.0,Operante,Automatica,-24.53333333,0-76-0-4114609000000140,8,392.07,PR,A820,-54.01916666,2006-11-17
0-2000-0-81729,MANACAPURU,N,0.0,Operante,Automatica,-3.29472221,0-76-0-1302504000000331,1,36.57,AM,A119,-60.62833332,2008-04-09
0-2000-0-81730,MANAUS,N,0.0,Operante,Automatica,-3.10333333,0-76-0-1302603000000003,1,61.25,AM,A101,-60.01638888,2000-05-08
0-2000-0-86825,MANHUACU,N,0.0,Operante,Automatica,-20.26333333,0-76-0-3139409000000467,5,819.47,MG,A556,-42.18277777,2010-09-24
0-2000-0-81810,MANICORE,N,0.0,Operante,Automatica,-5.7886111,0-76-0-1302702000000479,1,40.64,AM,A133,-61.28833333,2011-12-11
0-2000-0-86784,MANTENA,N,0.0,Operante,Automatica,-18.78062,0-76-0-3139607000000238,5,254.91,MG,A540,-40.986505,2007-07-31
0-2000-0-81820,MARABA,N,0.0,Pane,Automatica,-5.36638888,0-76-0-1504208000000449,2,116.58,PA,A240,-49.05111111,2009-06-24
0-2000-0-86834,MARACAJU,N,0.0,Operante,Automatica,-21.60916666,0-76-0-5005400000000156,7,388.94,MS,A731,-55.17749999,2006-12-14
0-2000-0-86677,MARAU,N,0.0,Pane,Automatica,-13.90694444,0-76-0-2920700000000387,4,6.24,BA,A438,-38.97222221,2008-06-21
0-2000-0-81922,MARECHAL THAUMATURGO,N,0.0,Pane,Automatica,-8.95,0-76-0-1200351000000456,1,220.98,AC,A137,-72.78666666,2009-10-26
0-2000-0-86871,MARIA DA FE,N,0.0,Operante,Automatica,-22.31444444,0-76-0-3139904000000151,5,1281.43,MG,A531,-45.37305554,2006-11-30
0-2000-0-81983,MARIANOPOLIS DO TO,N,0.0,Operante,Automatica,-9.57638888,0-76-0-1712504000000488,10,186.69,TO,A041,-49.72333332,2012-11-23
0-2000-0-84810,MARILANDIA,N,0.0,Operante,Automatica,-19.40722222,0-76-0-3203353000000542,6,95.0,ES,A632,-40.53972221,2017-03-21
0-2000-0-84813,MARILIA,N,0.0,Operante,Automatica,-22.235222,0-76-0-3529005000000547,7,660.0,SP,A763,-49.965111,2017-05-14
0-2000-0-86899,MARINGA,N,0.0,Operante,Automatica,-23.40527777,0-76-0-4115200000000142,8,548.51,PR,A835,-51.93277777,2006-11-20
0-2000-0-86608,MATEIROS,N,0.0,Operante,Automatica,-10.43444444,0-76-0-1712702000000486,10,791.0,TO,A040,-45.92194443,2012-10-24
0-2000-0-81734,MAUES,N,0.0,Operante,Automatica,-3.39888888,0-76-0-1302900000000345,1,25.49,AM,A122,-57.67388888,2008-04-21
0-2000-0-81739,MEDICILANDIA,N,0.0,Operante,Automatica,-3.51083333,0-76-0-1504455000000289,2,251.68,PA,A209,-52.96333333,2008-02-16
0-2000-0-81855,MINA DO PALITO,N,0.0,Pane,Automatica,-6.31999999,0-76-0-1500602000000468,2,259.88,PA,A246,-55.78777777,2010-09-27
0-2000-0-86751,MINEIROS,N,0.0,Operante,Automatica,-17.45472222,0-76-0-5213103000000277,10,862.0,GO,A026,-52.60111111,2007-11-23
0-2000-0-86807,MIRANDA,N,0.0,Operante,Automatica,-20.39555555,0-76-0-5005608000000133,7,132.49,MS,A722,-56.43166666,2006-11-01
0-2000-0-86720,MOCAMBINHO,N,0.0,Operante,Automatica,-15.08583333,0-76-0-3135050000000270,5,454.0,MG,A539,-44.01611111,2007-11-10
0-2000-0-86693,MONTALVANIA,N,0.0,Operante,Automatica,-14.40833333,0-76-0-3142700000000217,5,519.52,MG,A526,-44.40416666,2007-06-25
0-2000-0-81706,MONTE ALEGRE,N,0.0,Operante,Automatica,-2.0,0-76-0-1504802000000482,2,100.53,PA,A239,-54.07638888,2012-07-05
0-2000-0-86670,MONTE ALEGRE DE GOIAS,N,0.0,Operante,Automatica,-13.25361111,0-76-0-5213509000000211,10,552.0,GO,A032,-46.89027777,2007-06-06
0-2000-0-86870,MONTE VERDE,N,0.0,Operante,Automatica,-22.86166666,0-76-0-3110509000000071,5,1544.89,MG,A509,-46.04333333,2004-12-18
0-2000-0-81914,MONTEIRO,N,0.0,Operante,Automatica,-7.89444444,0-76-0-2509701000000241,3,606.39,PB,A334,-37.12472221,2007-08-21
0-2000-0-86740,MONTES CLAROS,N,0.0,Operante,Automatica,-16.68638888,0-76-0-3143302000000038,5,645.87,MG,A506,-43.84388888,2002-12-18
0-2000-0-81832,MORADA NOVA,N,0.0,Operante,Automatica,-5.0911111,0-76-0-2308708000000243,3,93.0,CE,A332,-38.36472222,2007-08-23
0-2000-0-86934,MORRETES,N,0.0,Operante,Automatica,-25.50888888,0-76-0-4116208000000317,8,50.31,PR,A873,-48.80861111,2008-03-12
0-2000-0-86755,MORRINHOS,N,0.0,Operante,Automatica,-17.745066,0-76-0-5213806000000006,10,751.09,GO,A003,-49.101698,2001-05-24
0-2000-0-81834,MOSSORO,N,0.0,Operante,Automatica,-4.90416666,0-76-0-2408003000000189,3,29.44,RN,A318,-37.36694443,2007-05-21
0-2000-0-86994,MOSTARDAS,N,0.0,Operante,Automatica,-31.24833333,0-76-0-4312500000000315,8,3.82,RS,A878,-50.90638888,2008-03-10
0-2000-0-86852,MURIAE,N,0.0,Operante,Automatica,-21.105,0-76-0-3148202000000102,5,282.79,MG,A517,-42.37583332,2006-08-29
0-2000-0-81839,NATAL,N,0.0,Pane,Automatica,-5.83722221,0-76-0-2408102000000060,3,47.46,RN,A304,-35.20805555,2003-02-23
0-2000-0-86768,NHUMIRIM,N,0.0,Operante,Automatica,-18.9886111,0-76-0-5003207000000092,7,102.26,MS,A717,-56.62277777,2006-08-01
0-2000-0-84823,NITEROI,N,0.0,Operante,Automatica,-22.86749999,0-76-0-3303302000000580,6,6.0,RJ,A627,-43.10194444,2018-07-12
0-2000-0-86600,NOSSA SENHORA DA GLORIA,N,0.0,Operante,Automatica,-10.20777777,0-76-0-2804508000000543,4,271.0,SE,A453,-37.43194443,2017-03-23
0-2000-0-86901,NOVA FATIMA,N,0.0,Pane,Automatica,-23.41527777,0-76-0-4117008000000174,8,664.31,PR,A842,-50.57777777,2007-02-07
0-2000-0-86889,NOVA FRIBURGO - SALINAS,N,0.0,Operante,Automatica,-22.33472221,0-76-0-3303401000000466,6,1070.0,RJ,A624,-42.67694443,2010-09-17
0-2000-0-86663,NOVA MARINGA,N,0.0,Operante,Automatica,-13.0386111,0-76-0-5108907000000338,9,334.36,MT,A928,-57.09222221,2008-04-15
0-2000-0-86706,NOVA PORTEIRINHA (JANAUBA),N,0.0,Operante,Automatica,-15.80277777,0-76-0-3135100000000533,5,532.0,MG,A563,-43.29694444,2016-11-18
0-2000-0-86919,NOVA TEBAS,N,0.0,Pane,Automatica,-24.43388888,0-76-0-4117271000000164,8,660.0,PR,A822,-51.95388888,2006-12-20
0-2000-0-86665,NOVA UBIRATA,N,0.0,Operante,Automatica,-13.41111111,0-76-0-5106240000000337,9,466.48,MT,A929,-54.75222222,2008-04-12
0-2000-0-81812,NOVO ARIPUANA,N,0.0,Operante,Automatica,-8.0911111,0-76-0-1303304000000594,1,45.0,AM,A144,-60.38055554,2019-07-17
0-2000-0-86938,NOVO HORIZONTE,N,0.0,Operante,Automatica,-26.40638888,0-76-0-4203600000000432,8,943.57,SC,A816,-52.85027777,2008-09-19
0-2000-0-81784,NOVO REPARTIMENTO,N,0.0,Pane,Automatica,-4.24388888,0-76-0-1505064000000410,2,100.76,PA,A235,-49.93944444,2008-07-22
0-2000-0-81675,OBIDOS,N,0.0,Operante,Automatica,-1.88083332,0-76-0-1505106000000481,2,89.64,PA,A232,-55.51972221,2012-07-04
0-2000-0-81869,OEIRAS,N,0.0,Operante,Automatica,-6.97416666,0-76-0-2207009000000409,3,154.03,PI,A354,-42.14694444,2008-07-21
0-2000-0-81609,OIAPOQUE,N,0.0,Operante,Automatica,3.81361111,0-76-0-1600501000000428,2,15.14,AP,A242,-51.8625,2008-09-10
0-2000-0-84819,OLIVEIRA,N,0.0,Operante,Automatica,-20.715,0-76-0-3145604000000560,5,1025.0,MG,A570,-44.86444444,2017-10-18
0-2000-0-81910,OURICURI,N,0.0,Operante,Automatica,-7.88583333,0-76-0-2609907000000462,3,457.85,PE,A366,-40.10277777,2010-08-10
0-2000-0-86866,OURINHOS,N,0.0,Operante,Automatica,-23.00055555,0-76-0-3534708000000101,7,500.0,SP,A716,-49.84333333,2006-08-28
0-2000-0-86823,OURO BRANCO,N,0.0,Operante,Automatica,-20.55666666,0-76-0-3145901000000091,5,1048.2,MG,A513,-43.75611111,2006-07-27
0-2000-0-81742,PACAJA,N,0.0,Pane,Automatica,-3.8436111,0-76-0-1505486000000292,2,89.02,PA,A210,-50.63805555,2008-02-26
0-2000-0-81957,PALMARES,N,0.0,Operante,Automatica,-8.66666666,0-76-0-2610004000000420,3,164.01,PE,A357,-35.56805554,2008-09-03
0-2000-0-86607,PALMAS,N,0.0,Operante,Automatica,-10.14777777,0-76-0-1721000000000070,10,267.0,TO,A009,-48.31444444,2004-12-16
0-2000-0-86953,PALMEIRA DAS MISSOES,N,0.0,Operante,Automatica,-27.92027777,0-76-0-4313706000000291,8,614.11,RS,A856,-53.31805554,2008-02-25
0-2000-0-81995,PALMEIRA DOS INDIOS,N,0.0,Operante,Automatica,-9.42027777,0-76-0-2700805000000224,3,278.01,AL,A327,-36.62027777,2007-07-10
0-2000-0-81994,PAO DE ACUCAR,N,0.0,Operante,Automatica,-9.74916666,0-76-0-2706406000000230,3,20.83,AL,A323,-37.43083332,2007-07-13
0-2000-0-86747,PARACATU,N,0.0,Operante,Automatica,-17.24444444,0-76-0-3147006000000576,5,705.0,MG,A571,-46.88166666,2018-03-15
0-2000-0-81745,PARAGOMINAS,N,0.0,Operante,Automatica,-2.90055555,0-76-0-1505502000000258,2,88.0,PA,A212,-47.49499999,2007-10-17
0-2000-0-86650,PARANA,N,0.0,Operante,Automatica,-12.615,0-76-0-1716208000000073,10,284.96,TO,A010,-47.87194443,2005-03-03
0-2000-0-86792,PARANAIBA,N,0.0,Operante,Automatica,-19.69555555,0-76-0-5006309000000137,7,408.06,MS,A710,-51.18166666,2006-11-09
0-2000-0-86862,PARANAPOEMA,N,0.0,Operante,Automatica,-22.65833333,0-76-0-4118303000000302,8,308.7,PR,A850,-52.13444444,2008-03-03
0-2000-0-86684,PARANATINGA,N,0.0,Operante,Automatica,-14.42138888,0-76-0-5106307000000160,9,476.91,MT,A915,-54.0361111,2006-12-18
0-2000-0-86733,PARANOA (COOPA-DF),N,0.0,Operante,Automatica,-16.012222,0-76-0-5300108000000537,10,1043.0,DF,A047,-47.557417,2017-02-06
0-2000-0-86913,PARATY,N,0.0,Operante,Automatica,-23.2236111,0-76-0-3303807000000141,6,3.0,RJ,A619,-44.72694443,2006-11-18
0-2000-0-86732,PARAUNA,N,0.0,Operante,Automatica,-16.9625,0-76-0-5216403000000324,10,678.74,GO,A027,-50.42555554,2008-03-28
0-2000-0-81703,PARINTINS,N,0.0,Operante,Automatica,-2.63916666,0-76-0-1303403000000332,1,18.72,AM,A123,-56.75611111,2008-04-10
0-2000-0-81752,PARNAIBA,N,0.0,Operante,Automatica,-3.08666666,0-76-0-2207702000000051,3,52.11,PI,A308,-41.78305554,2003-02-05
0-2000-0-81963,PARQUE ESTADUAL CHANDLESS,N,0.0,Pane,Automatica,-9.35833333,0-76-0-1200435000000413,1,184.51,AC,A102,-69.92638888,2008-08-04
0-2000-0-86873,PASSA QUATRO,N,0.0,Operante,Automatica,-22.39583333,0-76-0-3147600000000201,5,1017.1,MG,A529,-44.96194444,2007-05-29
0-2000-0-86963,PASSO FUNDO,N,0.0,Operante,Automatica,-28.226805,0-76-0-4314100000000147,8,680.67,RS,A839,-52.403582,2006-11-26
0-2000-0-86819,PASSOS,N,0.0,Operante,Automatica,-20.745237,0-76-0-3147907000000086,5,781.7,MG,A516,-46.633916,2006-07-15
0-2000-0-81913,PATOS,N,0.0,Pane,Automatica,-7.07972221,0-76-0-2510808000000235,3,263.66,PB,A321,-37.27277777,2007-07-20
0-2000-0-84811,PATOS DE MINAS,N,0.0,Operante,Automatica,-18.52055554,0-76-0-3148004000000545,5,950.0,MG,A562,-46.44055555,2017-05-11
0-2000-0-86778,PATROCINIO,N,0.0,Operante,Automatica,-18.996684,0-76-0-3148103000000097,5,978.11,MG,A523,-46.985935,2006-08-21
0-2000-0-81950,PAULISTANA,N,0.0,Operante,Automatica,-8.132288,0-76-0-2207801000000246,3,376.0,PI,A330,-41.142945,2007-08-30
0-2000-0-81941,PEDRO AFONSO,N,0.0,Operante,Automatica,-8.9686111,0-76-0-1716505000000170,10,189.71,TO,A020,-48.17722221,2007-01-22
0-2000-0-86649,PEIXE,N,0.0,Operante,Automatica,-12.01527777,0-76-0-1716604000000150,10,250.87,TO,A018,-48.54444444,2006-11-30
0-2000-0-81991,PETROLINA,N,0.0,Operante,Automatica,-9.38833333,0-76-0-2611101000000059,3,372.72,PE,A307,-40.52333332,2003-02-20
0-2000-0-86673,PIATA,N,0.0,Operante,Automatica,-13.155681,0-76-0-2924306000000358,4,1283.95,BA,A430,-41.774125,2008-05-02
0-2000-0-86876,PICO DO COUTO,N,0.0,Operante,Automatica,-22.46472222,0-76-0-3303906000000121,6,1777.0,RJ,A610,-43.29138888,2006-10-21
0-2000-0-81908,PICOS,N,0.0,Operante,Automatica,-7.0711111,0-76-0-2208007000000440,3,232.91,PI,A343,-41.40416666,2008-12-11
